instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance2,table3_existing,3,15,"[15, 1, 1, 5, 10, 10, 4, 8]",,"[11, 6, 9]",,
Instance2,table3_existing,3,16,"[16, 3, 7, 2, 13, 14]",,"[0, 12]",,
Instance2,table3_existing,4,15,"[15, 1, 1, 5, 10, 10, 4, 8]",,"[11, 6, 9]",,
Instance2,table3_existing,4,16,"[16, 3, 7, 2, 13, 14]",,"[0, 12]",,
Instance2,table3_existing,5,15,"[15, 1, 1, 6, 6, 5, 10, 10, 4]",,"[11, 9, 8]",,
Instance2,table3_existing,5,16,"[16, 3, 7, 2, 13, 14]",,"[0, 12]",,
Instance2,table3_existing,6,15,"[15, 1, 1, 5, 10, 10, 4, 8]",,"[11, 6, 9]",,
Instance2,table3_existing,6,16,"[16, 3, 7, 2, 13, 14]",,"[0, 12]",,
Instance2,table3_existing,7,15,"[15, 1, 1, 5, 10, 10, 4, 8]",,"[11, 6, 9]",,
Instance2,table3_existing,7,16,"[16, 3, 7, 2, 13, 14]",,"[0, 12]",,
Instance2,table3_existing,8,15,"[15, 1, 1, 5, 6, 6, 5, 10, 10, 4]",,"[11, 9, 8]",,
Instance2,table3_existing,8,16,"[16, 3, 7, 2, 13, 14]",,"[0, 12]",,
Instance2,table3_existing,9,15,"[15, 5, 10, 4, 8]",,"[1, 11, 6, 9]",,
Instance2,table3_existing,9,16,"[16, 3, 7, 2, 13, 14]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,0,15,"[15, 1, 5, 10, 4, 8, 10, 5, 15]",,"[11, 6, 9]",,
Instance2,table3_paper_exact_repaired,0,16,"[16, 7, 2, 13, 14, 13, 2, 7, 16]",,"[3, 0, 12]",,
Instance2,table3_paper_exact_repaired,1,15,"[15, 1, 5, 6, 5, 10, 4, 10, 5, 15]",,"[11, 9, 8]",,
Instance2,table3_paper_exact_repaired,1,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,2,15,"[15, 1, 5, 6, 5, 10, 4, 10, 5, 15]",,"[11, 9, 8]",,
Instance2,table3_paper_exact_repaired,2,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,3,15,"[15, 1, 5, 10, 4, 8, 10, 5, 15]",,"[11, 6, 9]",,
Instance2,table3_paper_exact_repaired,3,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,4,15,"[15, 1, 5, 10, 4, 8, 10, 5, 15]",,"[11, 6, 9]",,
Instance2,table3_paper_exact_repaired,4,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,5,15,"[15, 1, 6, 5, 10, 4, 10, 5, 15]",,"[11, 9, 8]",,
Instance2,table3_paper_exact_repaired,5,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,6,15,"[15, 1, 5, 10, 4, 8, 10, 5, 15]",,"[11, 6, 9]",,
Instance2,table3_paper_exact_repaired,6,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,7,15,"[15, 1, 5, 10, 4, 8, 10, 5, 15]",,"[11, 6, 9]",,
Instance2,table3_paper_exact_repaired,7,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,8,15,"[15, 1, 5, 6, 5, 10, 4, 10, 5, 15]",,"[11, 9, 8]",,
Instance2,table3_paper_exact_repaired,8,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance2,table3_paper_exact_repaired,9,15,"[15, 5, 10, 4, 8, 10, 5, 15]",,"[1, 11, 6, 9]",,
Instance2,table3_paper_exact_repaired,9,16,"[16, 3, 7, 2, 13, 14, 13, 2, 7, 16]",,"[0, 12]",,
Instance3,table3_existing,0,15,"[15, 5, 9, 11, 2, 14, 14, 2, 11, 7]",,"[4, 1, 13]",,
Instance3,table3_existing,0,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 6]",,
Instance3,table3_existing,1,15,"[15, 5, 9, 11, 2, 14, 1, 14, 2, 11]",,"[4, 13, 7]",,
Instance3,table3_existing,1,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 6]",,
Instance3,table3_existing,2,15,"[15, 5, 9, 11, 2, 14, 1, 14, 2, 11]",,"[4, 13, 7]",,
Instance3,table3_existing,2,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 6]",,
Instance3,table3_existing,3,15,"[15, 5, 9, 11, 2, 14, 14, 2, 11, 7]",,"[4, 1, 13]",,
Instance3,table3_existing,3,18,"[18, 8, 0, 10, 3, 10, 0, 8]",,"[12, 6]",,
Instance3,table3_existing,4,15,"[15, 5, 9, 11, 2, 14, 1, 14, 2, 11]",,"[4, 13, 6]",,
