instance,is_best,rank_by_objective,open_depots,open_depots_base,open_depots_idx,status_name,objective,best_bound,achieved_mip_gap,achieved_mip_gap_pct,rank_by_arrival_rescore,arrival_best_objective,arrival_best_solution_number,arrival_pool_solution_count,runtime_sec,error
Instance4,0,7,"[17, 18]","[10, 12]","[2, 3]",TIME_LIMIT,12.616666660304213,9.12890838007872,0.2764405507517306,27.644055075173057,8,,,,100.35999989509583,
Instance4,0,8,"[15, 18]","[1, 12]","[0, 3]",TIME_LIMIT,12.83666666666667,9.28812859007634,0.276437658524305,27.6437658524305,3,,,,100.28499984741211,
Instance4,0,9,"[16, 19]","[5, 14]","[1, 4]",OPTIMAL,16.76666666666667,16.766666666666666,2.1189147189665012e-16,2.118914718966501e-14,7,,,,27.569000005722046,
Instance4,0,10,"[15, 17]","[1, 10]","[0, 2]",OPTIMAL,17.246666194361477,17.246666194361474,2.0599422745028857e-16,2.0599422745028857e-14,2,,,,22.969000101089478,
Instance5,1,1,"[17, 19]","[5, 10]","[2, 4]",TIME_LIMIT,9.876666401027084,7.024227255745725,0.2888058611541979,28.88058611541979,9,,,,100.31900000572205,
Instance5,0,2,"[16, 19]","[4, 10]","[1, 4]",TIME_LIMIT,10.263333324549745,7.471405020664445,0.2720293900235168,27.202939002351677,7,,,,100.28600001335144,
Instance5,0,3,"[18, 19]","[8, 10]","[3, 4]",TIME_LIMIT,12.173333333333336,8.654029571957214,0.28909943275269345,28.909943275269345,10,,,,100.17400002479553,
Instance5,0,4,"[15, 17]","[3, 5]","[0, 2]",OPTIMAL,12.276666666666666,12.276666666666635,2.459793614157284e-15,2.459793614157284e-13,2,,,,22.359999895095825,
Instance5,0,5,"[15, 16]","[3, 4]","[0, 1]",OPTIMAL,12.513333333333332,12.513333333333332,0.0,0.0,1,,,,81.85900020599365,
Instance5,0,6,"[15, 19]","[3, 10]","[0, 4]",OPTIMAL,14.86666666666667,14.86666666666667,0.0,0.0,4,,,,11.971999883651733,
Instance5,0,7,"[15, 18]","[3, 8]","[0, 3]",TIME_LIMIT,15.216666644418327,13.152149469125598,0.13567473241914124,13.567473241914124,3,,,,100.2649998664856,
Instance5,0,8,"[17, 18]","[5, 8]","[2, 3]",OPTIMAL,17.939999959030693,17.93999995894179,4.955580117131016e-12,4.955580117131016e-10,8,,,,14.990000009536743,
Instance5,0,9,"[16, 18]","[4, 8]","[1, 3]",OPTIMAL,18.59,18.59,0.0,0.0,6,,,,18.286999940872192,
Instance5,0,10,"[16, 17]","[4, 5]","[1, 2]",OPTIMAL,20.173333333333332,20.173333333333332,0.0,0.0,5,,,,12.842999935150146,
Instance6,1,1,"[15, 16]","[3, 7]","[0, 1]",TIME_LIMIT,18.186666416400804,14.300841581876721,0.2136633919353044,21.36633919353044,1,,,,100.13600015640259,
Instance6,0,2,"[16, 19]","[7, 12]","[1, 4]",TIME_LIMIT,18.44,17.159145062523855,0.06946067990651551,6.946067990651551,7,,,,100.10999989509583,
Instance6,0,3,"[16, 17]","[7, 8]","[1, 2]",TIME_LIMIT,19.943333333333335,18.535260128066398,0.07060370409160642,7.060370409160642,5,,,,100.28399991989136,
Instance6,0,4,"[15, 18]","[3, 10]","[0, 3]",TIME_LIMIT,20.97666666666667,15.566232362307685,0.25792631357185686,25.792631357185687,3,,,,100.11299991607666,
Instance6,0,5,"[18, 19]","[10, 12]","[3, 4]",TIME_LIMIT,21.476666616888885,18.928301418472227,0.1186573896161645,11.865738961616449,10,,,,100.10999989509583,
